student_id,course_id,programme_level,Group,course_name,course_code,quizzes_attempted,max_quizzes_in_course,participation_rate,avg_quiz_score_pct,engagement_score,profile_label,ese_percentage,quiz_count,avg_score,slope,r_squared,trajectory_label,trajectory_eligible
19326,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,83.3333,93.3333,High,60.0,6.0,83.3333,-0.571429,0.005,Steady High Performer,True
19328,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,93.3333,97.3333,High,76.67,6.0,93.3333,2.285714,0.1714,Steady High Performer,True
19329,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,76.6667,90.6667,High,50.0,6.0,76.6667,0.571429,0.0021,Steady High Performer,True
19330,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,83.3333,93.3333,High,60.0,6.0,83.3333,6.285714,0.6101,Improver,True
19331,4606,UG,BA,2023 Batch - Skill Enhancement Course: Skill Based - Artificial Intelligence,21SBC4T231,6,6.0,100.0,66.6667,86.6667,High,56.67,6.0,66.6667,22.857143,0.6857,Improver,True
19331,4614,UG,BA,2023 Batch - Skill Enhancement Course: Value Based II - Humanitarian Principles and Values (YRC),22VBC4A231,6,6.0,100.0,76.6667,90.6667,High,96.67,6.0,76.6667,2.857143,0.4286,Steady High Performer,True
19332,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,93.3333,97.3333,High,43.33,6.0,93.3333,1.142857,0.0429,Steady High Performer,True
19333,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,60.0,84.0,High,36.67,6.0,60.0,2.285714,0.0286,Steady High Performer,True
19334,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,93.3333,97.3333,High,56.67,6.0,93.3333,0.0,0.0,Steady High Performer,True
19335,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,83.33,6.0,96.6667,-2.857143,0.4286,Steady High Performer,True
19336,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,90.0,96.0,High,60.0,6.0,90.0,0.571429,0.0041,Steady High Performer,True
19337,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,93.3333,97.3333,High,83.33,6.0,93.3333,0.0,0.0,Steady High Performer,True
19338,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,83.3333,93.3333,High,63.33,6.0,83.3333,-0.571429,0.005,Steady High Performer,True
19339,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,5,6.0,83.3333,96.0,88.4,High,56.67,5.0,96.0,2.0,0.125,Steady High Performer,True
19341,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,60.0,6.0,96.6667,-0.571429,0.0171,Steady High Performer,True
