student_id,course_id,quiz_count,avg_score,slope,intercept,r_squared,p_value_slope,score_sequence,trajectory_label
31012,4606,6,83.3333,-5.142857,101.3333,0.4084,0.171901,"100.0,80.0,80.0,100.0,80.0,60.0",Steady High Performer
31012,4614,6,83.3333,-2.857143,93.3333,0.4286,0.158302,"100.0,80.0,80.0,80.0,80.0,80.0",Steady High Performer
31013,4606,6,83.3333,-9.714286,117.3333,0.6042,0.068876,"100.0,100.0,80.0,100.0,80.0,40.0",Decliner
31013,4614,6,83.3333,-0.571429,85.3333,0.0171,0.804726,"80.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31014,4606,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"100.0,80.0,80.0,100.0,80.0,80.0",Steady High Performer
31014,4614,6,80.0,0.0,80.0,0.0,1.0,"80.0,80.0,80.0,80.0,80.0,80.0",Steady High Performer
31015,4188,5,64.6667,2.333333,57.6667,0.125,0.559404,"60.0,60.0,60.0,83.33,60.0",Steady High Performer
31015,4606,6,86.6667,-1.142857,90.6667,0.0429,0.693907,"100.0,80.0,80.0,80.0,100.0,80.0",Steady High Performer
31015,4614,6,76.6667,-1.714286,82.6667,0.1543,0.441113,"80.0,80.0,80.0,80.0,60.0,80.0",Steady High Performer
31016,4606,6,76.6667,-9.714286,110.6667,0.8542,0.008396,"100.0,100.0,80.0,60.0,60.0,60.0",Decliner
31016,4614,6,83.3333,-4.0,97.3333,0.2471,0.315825,"100.0,80.0,80.0,100.0,60.0,80.0",Steady High Performer
31017,4606,6,83.3333,-5.142857,101.3333,0.4084,0.171901,"100.0,80.0,80.0,100.0,80.0,60.0",Steady High Performer
31017,4614,6,86.6667,-3.428571,98.6667,0.3857,0.188187,"100.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31018,4606,6,86.6667,-5.714286,106.6667,0.4286,0.158302,"100.0,100.0,80.0,100.0,60.0,80.0",Steady High Performer
31018,4614,6,86.6667,-3.428571,98.6667,0.3857,0.188187,"100.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31019,4606,6,80.0,-1.142857,84.0,0.0286,0.748868,"100.0,60.0,80.0,80.0,80.0,80.0",Steady High Performer
31019,4614,6,86.6667,0.0,86.6667,0.0,1.0,"80.0,80.0,100.0,100.0,80.0,80.0",Steady High Performer
31020,4606,6,86.6667,-1.142857,90.6667,0.0429,0.693907,"80.0,100.0,80.0,100.0,80.0,80.0",Steady High Performer
31020,4614,6,80.0,0.0,80.0,0.0,1.0,"80.0,80.0,80.0,80.0,80.0,80.0",Steady High Performer
31021,4606,6,76.6667,-14.285714,126.6667,0.6957,0.038998,"100.0,100.0,80.0,100.0,60.0,20.0",Decliner
31021,4614,6,80.0,-9.142857,112.0,0.6095,0.066854,"100.0,80.0,100.0,80.0,80.0,40.0",Decliner
31022,4606,6,83.3333,-4.0,97.3333,0.2471,0.315825,"80.0,100.0,80.0,100.0,80.0,60.0",Steady High Performer
31022,4614,6,80.0,-3.428571,92.0,0.2571,0.304559,"100.0,80.0,80.0,60.0,80.0,80.0",Steady High Performer
31023,4606,6,73.3333,-10.285714,109.3333,0.8679,0.00686,"100.0,80.0,80.0,80.0,60.0,40.0",Decliner
31023,4614,6,70.0,-4.0,84.0,0.2,0.373901,"80.0,60.0,100.0,60.0,60.0,60.0",Steady High Performer
31024,4606,6,80.0,-1.142857,84.0,0.0286,0.748868,"80.0,80.0,80.0,100.0,60.0,80.0",Steady High Performer
31024,4614,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"80.0,100.0,100.0,80.0,80.0,80.0",Steady High Performer
31025,4606,6,63.3333,-2.857143,73.3333,0.0523,0.663052,"40.0,100.0,80.0,60.0,40.0,60.0",Steady High Performer
31025,4614,6,83.3333,-1.714286,89.3333,0.0454,0.685301,"100.0,60.0,100.0,80.0,80.0,80.0",Steady High Performer
31026,4606,6,80.0,-8.0,108.0,0.4667,0.134702,"100.0,80.0,80.0,100.0,80.0,40.0",Decliner
31026,4614,6,86.6667,-3.428571,98.6667,0.3857,0.188187,"100.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31027,4606,6,73.3333,-12.571429,117.3333,0.6101,0.066644,"100.0,80.0,80.0,100.0,60.0,20.0",Decliner
31027,4614,6,86.6667,-3.428571,98.6667,0.3857,0.188187,"100.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31028,4606,6,73.3333,-2.285714,81.3333,0.0429,0.693907,"60.0,80.0,80.0,100.0,80.0,40.0",Steady High Performer
31028,4614,6,70.0,-12.0,112.0,0.84,0.010164,"100.0,80.0,80.0,80.0,40.0,40.0",Decliner
31029,4606,6,80.0,-1.142857,84.0,0.0286,0.748868,"80.0,80.0,80.0,100.0,60.0,80.0",Steady High Performer
31029,4614,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"80.0,100.0,100.0,80.0,80.0,80.0",Steady High Performer
31030,4606,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"100.0,80.0,80.0,100.0,80.0,80.0",Steady High Performer
31030,4614,6,86.6667,0.0,86.6667,0.0,1.0,"100.0,80.0,80.0,80.0,80.0,100.0",Steady High Performer
31031,4606,6,86.6667,0.0,86.6667,0.0,1.0,"80.0,100.0,80.0,100.0,60.0,100.0",Steady High Performer
31031,4614,5,72.0,0.0,72.0,0.0,1.0,"60.0,80.0,80.0,80.0,60.0",Steady High Performer
31032,4188,4,48.75,2.5,42.5,0.098,0.686888,"40.0,60.0,40.0,55.0",Stable Average
31032,4606,6,66.6667,-6.857143,90.6667,0.3857,0.188187,"100.0,60.0,80.0,40.0,60.0,60.0",Decliner
31032,4614,6,80.0,1.142857,76.0,0.0286,0.748868,"60.0,100.0,80.0,80.0,80.0,80.0",Steady High Performer
31033,4606,6,90.0,0.571429,88.0,0.0095,0.85408,"100.0,80.0,80.0,100.0,80.0,100.0",Steady High Performer
31033,4614,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"80.0,100.0,100.0,80.0,80.0,80.0",Steady High Performer
31034,4606,6,90.0,0.571429,88.0,0.0095,0.85408,"100.0,80.0,80.0,100.0,80.0,100.0",Steady High Performer
31034,4614,6,70.0,-0.571429,72.0,0.0095,0.85408,"60.0,80.0,80.0,60.0,80.0,60.0",Steady High Performer
31035,4606,6,86.6667,-6.857143,110.6667,0.6171,0.064032,"100.0,100.0,80.0,100.0,80.0,60.0",Decliner
31035,4614,6,86.6667,-1.142857,90.6667,0.0171,0.804726,"100.0,60.0,100.0,100.0,80.0,80.0",Steady High Performer
31036,4606,6,73.3333,-3.428571,85.3333,0.1543,0.441113,"80.0,80.0,60.0,100.0,60.0,60.0",Steady High Performer
31036,4614,6,76.6667,-7.428571,102.6667,0.3533,0.213405,"80.0,100.0,80.0,100.0,40.0,60.0",Decliner
31037,4606,6,76.6667,-0.571429,78.6667,0.005,0.893668,"80.0,60.0,80.0,100.0,80.0,60.0",Steady High Performer
31037,4614,6,83.3333,-5.142857,101.3333,0.4084,0.171901,"80.0,100.0,100.0,80.0,80.0,60.0",Steady High Performer
31038,4606,6,20.0,2.285714,12.0,0.1143,0.512225,"20.0,0.0,20.0,40.0,20.0,20.0",Consistently Struggling
31038,4614,6,16.6667,-2.857143,26.6667,0.1261,0.489823,"20.0,20.0,40.0,0.0,0.0,20.0",Consistently Struggling
31039,4606,6,23.3333,0.571429,21.3333,0.005,0.893668,"20.0,40.0,0.0,20.0,40.0,20.0",Consistently Struggling
31039,4614,6,30.0,7.428571,4.0,0.6898,0.040642,"20.0,20.0,20.0,20.0,40.0,60.0",Improver
31040,4606,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"100.0,80.0,80.0,100.0,80.0,80.0",Steady High Performer
31040,4614,6,80.0,0.0,80.0,0.0,1.0,"80.0,80.0,80.0,80.0,80.0,80.0",Steady High Performer
31041,4606,6,90.0,0.571429,88.0,0.0095,0.85408,"100.0,80.0,80.0,100.0,80.0,100.0",Steady High Performer
31041,4614,6,76.6667,-1.714286,82.6667,0.0454,0.685301,"80.0,60.0,100.0,80.0,80.0,60.0",Steady High Performer
31042,4606,6,80.0,-6.857143,104.0,0.5143,0.108701,"100.0,80.0,80.0,100.0,60.0,60.0",Decliner
31042,4614,6,80.0,-1.142857,84.0,0.0286,0.748868,"100.0,60.0,80.0,80.0,80.0,80.0",Steady High Performer
31043,4606,6,80.0,-1.142857,84.0,0.0286,0.748868,"80.0,80.0,80.0,100.0,60.0,80.0",Steady High Performer
31043,4614,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"80.0,100.0,100.0,80.0,80.0,80.0",Steady High Performer
31044,4606,6,90.0,0.571429,88.0,0.0095,0.85408,"100.0,80.0,80.0,100.0,80.0,100.0",Steady High Performer
31044,4614,6,83.3333,-1.714286,89.3333,0.1543,0.441113,"80.0,100.0,80.0,80.0,80.0,80.0",Steady High Performer
31045,4606,5,92.0,-2.0,98.0,0.0833,0.637618,"100.0,80.0,100.0,100.0,80.0",Steady High Performer
31045,4614,6,83.3333,-5.142857,101.3333,0.2394,0.324629,"100.0,100.0,60.0,100.0,60.0,80.0",Steady High Performer
31046,4606,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"100.0,80.0,80.0,100.0,80.0,80.0",Steady High Performer
31046,4614,6,80.0,-3.428571,92.0,0.2571,0.304559,"80.0,80.0,100.0,80.0,80.0,60.0",Steady High Performer
31047,4606,6,66.6667,-13.714286,114.6667,0.4747,0.130039,"80.0,80.0,100.0,100.0,20.0,20.0",Decliner
31047,4614,6,53.3333,-3.428571,65.3333,0.1543,0.441113,"60.0,60.0,60.0,60.0,20.0,60.0",Stable Average
