student_id,course_id,programme_level,Group,course_name,course_code,quizzes_attempted,max_quizzes_in_course,participation_rate,avg_quiz_score_pct,engagement_score,profile_label,ese_percentage
40392,4619,PG,MBA,STATISTICAL TECHNIQUES FOR BUSINESS DECISIONS 2025-27,MBA203D14,3,10.0,30.0,66.6667,44.6667,Medium,48.0
40392,4620,PG,MBA,CONTEMPORARY MARKETING 2025-27,MBA203D15,1,5.0,20.0,10.0,16.0,Low,64.0
40392,4621,PG,MBA,old for reference TRANSFORMING BUSINESS THROUGH INFROMATION TECHNOLOGY 2024,MBA402D11,2,4.0,50.0,50.0,50.0,Medium,71.43
40392,4622,PG,MBA,FUNDAMENTALS OF MANAGEMENT PRACTICE-2025-27,MBA402D12,8,12.0,66.6667,41.3542,56.5417,Medium,62.86
40393,4615,PG,MBA,FINANCIAL ANALYSIS AND REPORTING 2025-2027,MBA203D11,5,5.0,100.0,80.0,92.0,High,94.0
40393,4616,PG,MBA,HUMAN PSYCHOLOGY AT WORK 2025-2027,MBA203D12,1,1.0,100.0,100.0,100.0,High,68.0
40393,4618,PG,MBA,MANAGERIAL ECONOMICS 2025-27,MBA203D13,3,3.0,100.0,86.6667,94.6667,High,68.0
40393,4619,PG,MBA,STATISTICAL TECHNIQUES FOR BUSINESS DECISIONS 2025-27,MBA203D14,9,10.0,90.0,87.2222,88.8889,High,58.0
40393,4620,PG,MBA,CONTEMPORARY MARKETING 2025-27,MBA203D15,5,5.0,100.0,79.75,91.9,High,70.0
40393,4621,PG,MBA,old for reference TRANSFORMING BUSINESS THROUGH INFROMATION TECHNOLOGY 2024,MBA402D11,3,4.0,75.0,76.6667,75.6667,High,80.0
40393,4622,PG,MBA,FUNDAMENTALS OF MANAGEMENT PRACTICE-2025-27,MBA402D12,11,12.0,91.6667,51.5152,75.6061,High,62.86
40394,4615,PG,MBA,FINANCIAL ANALYSIS AND REPORTING 2025-2027,MBA203D11,3,5.0,60.0,100.0,76.0,High,96.0
40394,4616,PG,MBA,HUMAN PSYCHOLOGY AT WORK 2025-2027,MBA203D12,1,1.0,100.0,100.0,100.0,High,68.0
40394,4618,PG,MBA,MANAGERIAL ECONOMICS 2025-27,MBA203D13,2,3.0,66.6667,100.0,80.0,High,80.0
40394,4619,PG,MBA,STATISTICAL TECHNIQUES FOR BUSINESS DECISIONS 2025-27,MBA203D14,1,10.0,10.0,100.0,46.0,Medium,100.0
40394,4620,PG,MBA,CONTEMPORARY MARKETING 2025-27,MBA203D15,3,5.0,60.0,95.8333,74.3333,High,70.0
40394,4621,PG,MBA,old for reference TRANSFORMING BUSINESS THROUGH INFROMATION TECHNOLOGY 2024,MBA402D11,2,4.0,50.0,86.6666,64.6666,High,77.14
40394,4622,PG,MBA,FUNDAMENTALS OF MANAGEMENT PRACTICE-2025-27,MBA402D12,6,12.0,50.0,81.3889,62.5556,High,62.86
40395,4615,PG,MBA,FINANCIAL ANALYSIS AND REPORTING 2025-2027,MBA203D11,4,5.0,80.0,91.25,84.5,High,92.0
40395,4616,PG,MBA,HUMAN PSYCHOLOGY AT WORK 2025-2027,MBA203D12,1,1.0,100.0,100.0,100.0,High,74.0
40395,4618,PG,MBA,MANAGERIAL ECONOMICS 2025-27,MBA203D13,3,3.0,100.0,65.0,86.0,High,78.0
40395,4619,PG,MBA,STATISTICAL TECHNIQUES FOR BUSINESS DECISIONS 2025-27,MBA203D14,7,10.0,70.0,98.5714,81.4286,High,80.0
40395,4620,PG,MBA,CONTEMPORARY MARKETING 2025-27,MBA203D15,4,5.0,80.0,78.4375,79.375,High,76.0
40395,4621,PG,MBA,old for reference TRANSFORMING BUSINESS THROUGH INFROMATION TECHNOLOGY 2024,MBA402D11,2,4.0,50.0,66.6666,56.6666,Medium,82.86
40395,4622,PG,MBA,FUNDAMENTALS OF MANAGEMENT PRACTICE-2025-27,MBA402D12,12,12.0,100.0,62.8472,85.1389,High,68.57
40396,4615,PG,MBA,FINANCIAL ANALYSIS AND REPORTING 2025-2027,MBA203D11,2,5.0,40.0,80.0,56.0,Medium,86.0
40396,4616,PG,MBA,HUMAN PSYCHOLOGY AT WORK 2025-2027,MBA203D12,0,1.0,0.0,0.0,0.0,Low,52.0
40396,4618,PG,MBA,MANAGERIAL ECONOMICS 2025-27,MBA203D13,1,3.0,33.3333,70.0,48.0,Medium,70.0
40396,4619,PG,MBA,STATISTICAL TECHNIQUES FOR BUSINESS DECISIONS 2025-27,MBA203D14,1,10.0,10.0,70.0,34.0,Low,80.0
40396,4620,PG,MBA,CONTEMPORARY MARKETING 2025-27,MBA203D15,3,5.0,60.0,74.1667,65.6667,High,60.0
40396,4621,PG,MBA,old for reference TRANSFORMING BUSINESS THROUGH INFROMATION TECHNOLOGY 2024,MBA402D11,2,4.0,50.0,65.0,56.0,Medium,82.86
40396,4622,PG,MBA,FUNDAMENTALS OF MANAGEMENT PRACTICE-2025-27,MBA402D12,3,12.0,25.0,63.8889,40.5556,Medium,62.86
40397,4615,PG,MBA,FINANCIAL ANALYSIS AND REPORTING 2025-2027,MBA203D11,4,5.0,80.0,91.25,84.5,High,88.0
40397,4616,PG,MBA,HUMAN PSYCHOLOGY AT WORK 2025-2027,MBA203D12,1,1.0,100.0,66.6667,86.6667,High,62.0
40397,4618,PG,MBA,MANAGERIAL ECONOMICS 2025-27,MBA203D13,3,3.0,100.0,83.3333,93.3333,High,82.0
40397,4619,PG,MBA,STATISTICAL TECHNIQUES FOR BUSINESS DECISIONS 2025-27,MBA203D14,8,10.0,80.0,86.875,82.75,High,74.0
40397,4620,PG,MBA,CONTEMPORARY MARKETING 2025-27,MBA203D15,5,5.0,100.0,88.25,95.3,High,70.0
40397,4621,PG,MBA,old for reference TRANSFORMING BUSINESS THROUGH INFROMATION TECHNOLOGY 2024,MBA402D11,2,4.0,50.0,91.6666,66.6666,High,80.0
40397,4622,PG,MBA,FUNDAMENTALS OF MANAGEMENT PRACTICE-2025-27,MBA402D12,4,12.0,33.3333,65.4167,46.1667,Medium,62.86
40398,4615,PG,MBA,FINANCIAL ANALYSIS AND REPORTING 2025-2027,MBA203D11,4,5.0,80.0,83.75,81.5,High,74.0
